SID,age,agegroup,sex,english,condition (list),training,carrot_prompt,carrot_selection,carrot_selection_type,carrot_target,carrot_correct,hat_prompt,hat_selection,hat_selection_type,hat_target,hat_correct,cat_prompt,cat_selection,cat_selection_type,cat_target,cat_correct,purses_prompt,purses_selection,purses_selection_type,purses_target,purses_correct,shirts_prompt,shirts_selection,shirts_selection_type,shirts_target,shirts_correct,horses_prompt,horses_selection,horses_selection_type,horses_target,horses_correct,bears_prompt,bears_selection,bears_selection_type,bears_target,bears_correct,frogs_prompt,frogs_selection,frogs_selection_type,frogs_target,frogs_correct,plates_prompt,plates_selection,plates_selection_type,plates_target,plates_correct,books_prompt,books_selection,books_selection_type,books_target,books_correct,elephants_prompt,elephants_selection,elephants_selection_type,elephants_target,elephants_correct,bananas_prompt,bananas_selection,bananas_selection_type,bananas_target,bananas_correct,Exclude,Comments
090616_01,4.216438356,4-4.5,F,75,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,NaN,NaN,2,NaN,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,2,exclude 4th trial (some purses) gave the wrong prompt (all instead of some)
090616_02,4.635616438,4.5-5,F,100,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,0,
090616_03,4.756164384,4.5-5,M,25,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,1,none,2,0,some,2,all,1,0,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,Exclude (English exposure < 75%)
090916_01,5.956164384,out of age range,M,95,A,1,all,3,all,3,1,some,2,some,2,1,all,1,all,1,1,some,2,some,2,1,some,1,some,1,1,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,3,some,3,1,all,2,all,2,1,some,3,some,3,1,some,1,some,1,1,1,Exclude age
090916_02,4.219178082,4-4.5,F,95,B,1,some,2,some,2,1,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,NaN,NaN,1,NaN,all,2,all,2,1,all,3,all,3,1,2,"exclude 10th trial. Said ""all"" in place of ""some"""
090916_03,4.263013699,4-4.5,F,100,C,1,some,2,some,2,1,all,2,some,1,0,some,2,some,2,1,some,2,some,2,1,some,2,all,1,0,some,2,none,3,0,all,2,none,3,0,all,2,all,2,1,all,2,none,1,0,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,"exclude? child picked the middle picture every time until father interjected with ""Those aren't ____. Try harder"" near the end of the game"
090916_04,4.871232877,4.5-5,F,50,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,1,Exclude (English exposure < 75%)
090916_05,4.120547945,4-4.5,F,25,B,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,all,3,all,3,1,all,3,none,2,0,some,1,all,3,0,some,3,all,1,0,some,2,all,3,0,all,1,all,1,1,some,2,all,1,0,all,2,all,2,1,all,3,all,3,1,1,Exclude (English exposure < 75%)
091116_01,4.065753425,4-4.5,M,75,C,1,some,3,all,2,0,all,1,all,1,1,some,1,all,2,0,some,2,some,2,1,some,1,some,1,1,some,1,all,3,0,all,3,all,3,1,all,2,all,2,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,0,
091116_02,5.769863014,out of age range,F,75,A,1,all,3,all,3,1,some,1,all,2,0,all,1,all,1,1,some,3,all,2,0,some,2,all,1,0,all,1,all,1,1,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,all,2,all,2,1,some,2,all,3,0,some,3,all,1,0,1,exclude age
091116_03,4.221917808,4-4.5,F,50,B,1,some,3,all,2,0,all,1,all,1,1,some,3,all,2,0,all,3,all,3,1,all,2,all,2,1,some,1,all,3,0,some,1,some,1,1,some,3,some,3,1,all,1,all,1,1,some,1,some,1,1,all,2,all,2,1,all,3,all,3,1,1,exclude lang
